tax_id,ncbi_name,ncbi_rank,species_tax_id,species_name,mapping_source
38033,Chaetomium globosum,species,38033.0,Chaetomium globosum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
38284,Corynebacterium accolens,species,38284.0,Corynebacterium accolens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
38289,Corynebacterium jeikeium,species,38289.0,Corynebacterium jeikeium,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
38294,Photobacterium damselae subsp. piscicida,subspecies,38293.0,Photobacterium damselae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
38301,Corynebacterium minutissimum,species,38301.0,Corynebacterium minutissimum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
38313,Shewanella algae,species,38313.0,Shewanella algae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
38323,Bartonella henselae,species,38323.0,Bartonella henselae,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
38345,Leptospira kirschneri serovar Grippotyphosa,no rank,29507.0,Leptospira kirschneri,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
38448,Monilinia fructicola,species,38448.0,Monilinia fructicola,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
38457,Monilinia fructigena,species,38457.0,Monilinia fructigena,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
39291,Agroathelia rolfsii,species,39291.0,Agroathelia rolfsii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
39400,Curvularia brachyspora,species,39400.0,Curvularia brachyspora,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
39482,Faecalicatena contorta,species,39482.0,Faecalicatena contorta,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
39483,Faecalitalea cylindroides,species,39483.0,Faecalitalea cylindroides,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
39491,Agathobacter rectalis,species,39491.0,Agathobacter rectalis,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
39693,Mycolicibacterium porcinum,species,39693.0,Mycolicibacterium porcinum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
39777,Veillonella atypica,species,39777.0,Veillonella atypica,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
39950,Dialister pneumosintes,species,39950.0,Dialister pneumosintes,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40041,Streptococcus equi subsp. zooepidemicus,subspecies,1336.0,Streptococcus equi,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40126,Neurospora sitophila,species,40126.0,Neurospora sitophila,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40199,Fusarium avenaceum,species,40199.0,Fusarium avenaceum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40214,Acinetobacter johnsonii,species,40214.0,Acinetobacter johnsonii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40215,Acinetobacter junii,species,40215.0,Acinetobacter junii,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40216,Acinetobacter radioresistens,species,40216.0,Acinetobacter radioresistens,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40296,Penicillium italicum,species,40296.0,Penicillium italicum,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40324,Stenotrophomonas maltophilia,species,40324.0,Stenotrophomonas maltophilia,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40355,Fonsecaea pedrosoi,species,40355.0,Fonsecaea pedrosoi,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
40380,Aspergillus ochraceus,species,40380.0,Aspergillus ochraceus,"NCBI Taxonomy EFetch, retrieved 2026-08-10"
